date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,gust_dir,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,pressure_mean,solar_mean
2023-06-06,29.42,15.4,95.2,45.83,1497.0,3.7194444444444446,209.0,0.0,17.9,19.98,19.98,24.0,20.82375,84.33291666666666,0.9557407407407408,,80.271
2023-06-07,27.08,18.51,94.0,62.44,476.2,4.638888888888888,8.0,0.0,17.49,18.91,18.91,24.0,21.283333333333335,81.23833333333333,1.005798611111111,,155.94354166666668
2023-06-08,29.13,16.64,96.1,50.31,1521.0,3.138888888888889,259.0,0.0,17.03,18.01,18.01,24.0,20.513749999999998,82.08708333333333,1.120787037037037,,154.53566666666666
2023-06-09,29.06,14.98,94.7,48.6,1499.0,4.0,23.0,0.0,18.15,19.08,19.08,24.0,20.934166666666666,82.97708333333334,1.1871064814814816,,153.02204166666667
2023-06-10,29.15,15.32,96.5,49.33,1461.0,3.2694444444444444,27.0,0.0,18.1,19.36,19.36,24.0,24.715,62.25625,1.255775462962963,,156.46670833333334
2023-06-11,34.51,17.85,94.4,30.63,1532.0,6.05,255.0,0.0,15.15,25.4,25.4,24.0,22.57166666666667,71.20291666666667,1.3165162037037037,,83.77420833333333
2023-06-12,26.96,16.85,93.8,50.83,673.5,5.730555555555555,270.0,5.334,15.87,16.87,16.87,24.0,14.903333333333334,94.52499999999999,1.1091435185185186,,15.139958333333333
2023-06-13,16.87,13.29,95.6,92.1,16.62,5.488888888888889,233.0,64.52,12.25,13.39,13.39,24.0,13.288333333333334,92.27916666666665,1.9563773148148147,,17.710375000000003
2023-06-14,13.82,12.5,95.7,83.1,21.55,5.111111111111111,262.0,15.49,12.99,13.68,13.68,24.0,15.19,96.27916666666665,2.249537037037037,,20.7085
2023-06-15,16.74,13.53,96.9,95.4,29.55,5.680555555555555,218.0,32.0,15.51,16.0,16.0,24.0,18.178333333333335,90.47458333333333,2.488703703703704,821.0,48.07333333333333
2023-06-16,22.97,15.88,97.7,66.48,261.0,8.730555555555556,251.0,32.0,11.96,17.86,17.86,24.0,19.538333333333334,61.80875,3.5607870370370374,800.0,160.23620833333334
2023-06-17,25.47,15.43,77.5,46.5,1623.0,13.630555555555555,255.0,0.0,12.13,16.1,16.1,24.0,18.798333333333332,65.72125,2.366145833333333,807.0,152.80570833333334
2023-06-18,25.31,14.36,81.6,41.5,1552.0,6.8694444444444445,231.0,0.0,9.66,16.83,16.83,24.0,15.961666666666666,68.29166666666667,2.2655439814814815,809.0,158.80141666666665
2023-06-19,21.97,11.95,86.6,46.7,1616.0,6.930555555555555,218.0,0.0,10.84,13.02,13.02,24.0,15.05375,80.10541666666667,1.2861458333333333,,109.78779166666668
2023-06-20,22.31,10.33,93.9,52.06,991.0,4.580555555555555,43.0,0.0,12.16,13.73,13.73,24.0,17.3875,77.54291666666667,1.323923611111111,802.0,154.184625
