date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,gust_dir,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,solar_mean
2014-06-12,22.21,15.48,100.0,77.88,0.0,4.169444444444444,77.0,10.06,17.95,17.95,17.95,24.0,20.201249999999998,94.44666666666666,1.1160648148148147,0.0
2014-06-13,25.57,17.7,100.0,74.99,0.0,5.6194444444444445,62.0,9.37,19.16,19.29,19.29,24.0,20.718333333333334,94.30166666666666,0.6648958333333334,0.0
2014-06-14,23.71,18.25,100.0,75.21,0.0,3.9305555555555554,52.0,0.0,20.05,20.05,20.05,24.0,20.520416666666666,96.6125,0.8593402777777778,0.0
2014-06-15,23.64,18.31,100.0,84.0,0.0,4.288888888888889,134.0,0.686,18.22,18.31,18.31,24.0,18.769166666666667,98.34166666666665,0.9265509259259259,0.0
2014-06-16,21.27,17.55,100.0,88.1,0.0,3.711111111111111,287.0,10.29,18.65,18.65,18.65,24.0,20.743333333333332,92.07083333333333,0.7352662037037038,0.0
2014-06-17,26.64,17.59,100.0,65.42,0.0,2.8,9.0,0.0,17.63,17.63,17.63,24.0,19.243333333333336,93.42291666666667,0.9212268518518519,0.0
2014-06-18,23.73,16.0,100.0,70.44,0.0,3.2305555555555556,58.0,0.0,18.72,18.82,18.82,24.0,16.162916666666664,97.75416666666666,1.099861111111111,0.0
2014-06-19,18.83,12.57,100.0,88.7,0.0,5.188888888888889,189.0,35.94,12.19,12.79,12.79,24.0,13.602916666666665,89.21875,1.0173842592592592,0.0
2014-06-20,16.74,11.95,98.1,61.44,0.0,3.35,311.0,0.0,11.7,12.19,12.19,24.0,13.6075,91.23,0.9372916666666667,0.0
2014-06-21,18.68,10.72,100.0,66.55,0.0,4.319444444444445,36.0,0.0,12.52,12.52,12.52,24.0,14.640416666666667,93.16333333333334,0.8626736111111111,0.0
2014-06-22,19.62,11.46,100.0,69.52,0.0,4.138888888888889,66.0,0.0,14.6,14.77,14.77,24.0,17.23125,92.90333333333332,0.7565740740740741,0.0
2014-06-23,22.42,14.54,100.0,72.48,0.0,3.5194444444444444,72.0,0.0,16.93,17.09,17.09,24.0,18.530416666666667,92.86458333333333,0.728611111111111,0.0
2014-06-24,24.33,15.18,100.0,68.93,0.0,3.261111111111111,91.0,0.0,16.24,16.24,16.24,17.0,18.279411764705884,94.73705882352941,0.740686274509804,0.0
2016-06-16,,,,,,,,,,,,1.0,23.81,60.08,0.03638888888888889,
