date,code,station,temp,umid,ws,wd,prec
2020-10-13 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-13 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-13 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-13 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-13 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-13 06:00:00,aeroporto,Aeroporto SBJV,16.0,100.0,1.02816271792579,320.0,
2020-10-13 07:00:00,aeroporto,Aeroporto SBJV,17.0,100.0,1.54224407688869,330.0,
2020-10-13 08:00:00,aeroporto,Aeroporto SBJV,20.0,82.86,0.0,0.0,
2020-10-13 09:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-13 10:00:00,aeroporto,Aeroporto SBJV,23.0,78.19,1.02816271792579,200.0,
2020-10-13 11:00:00,aeroporto,Aeroporto SBJV,25.0,69.33,2.57040679481448,130.0,
2020-10-13 12:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-13 13:00:00,aeroporto,Aeroporto SBJV,26.0,69.52,3.59856951274028,110.0,
2020-10-13 14:00:00,aeroporto,Aeroporto SBJV,26.0,69.52,6.68305766651766,130.0,
2020-10-13 15:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-13 16:00:00,aeroporto,Aeroporto SBJV,22.0,83.09,5.65489494859186,130.0,
2020-10-13 17:00:00,aeroporto,Aeroporto SBJV,21.0,88.34,5.65489494859186,130.0,
2020-10-13 18:00:00,aeroporto,Aeroporto SBJV,20.0,88.26,4.62673223066607,140.0,
2020-10-13 19:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,4.11265087170317,140.0,
2020-10-13 20:00:00,aeroporto,Aeroporto SBJV,19.0,88.18,2.57040679481448,160.0,
2020-10-13 21:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,1.54224407688869,170.0,
2020-10-13 22:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,1.54224407688869,230.0,
2020-10-13 23:00:00,aeroporto,Aeroporto SBJV,18.0,100.0,1.54224407688869,110.0,
2020-10-14 00:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-14 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-14 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-14 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-14 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-14 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-14 06:00:00,aeroporto,Aeroporto SBJV,18.0,93.88,1.02816271792579,260.0,
2020-10-14 07:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-14 08:00:00,aeroporto,Aeroporto SBJV,19.0,93.92,1.54224407688869,330.0,
2020-10-14 09:00:00,aeroporto,Aeroporto SBJV,20.0,88.26,1.02816271792579,320.0,
2020-10-14 10:00:00,aeroporto,Aeroporto SBJV,22.0,78.04,1.02816271792579,60.0,
2020-10-14 11:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-14 12:00:00,aeroporto,Aeroporto SBJV,,,,,
