date,gauge,rain_mm
2023-06-19,aventureiro,0.0
2023-06-20,aventureiro,0.0
2023-06-22,aventureiro,0.0
2023-06-23,aventureiro,0.0
2023-06-25,aventureiro,0.0
2023-07-02,aventureiro,0.0
2023-07-03,aventureiro,0.0
2023-07-04,aventureiro,0.0
2023-07-08,aventureiro,0.0
2023-07-10,aventureiro,0.0
2023-07-11,aventureiro,0.0
2023-07-12,aventureiro,0.0
2023-07-13,aventureiro,0.0
2023-07-14,aventureiro,0.0
2023-07-15,aventureiro,0.0
2023-07-16,aventureiro,0.0
2023-07-17,aventureiro,0.0
2023-07-18,aventureiro,0.0
2023-07-19,aventureiro,0.0
2023-07-20,aventureiro,0.0
2023-07-21,aventureiro,0.0
2023-07-22,aventureiro,0.0
2023-07-27,aventureiro,0.0
2023-07-28,aventureiro,0.0
2023-07-29,aventureiro,0.0
2023-08-07,aventureiro,0.0
2023-08-08,aventureiro,0.0
2023-08-09,aventureiro,0.0
2023-08-10,aventureiro,0.0
2023-08-11,aventureiro,0.0
2023-08-12,aventureiro,0.0
2023-08-13,aventureiro,0.0
2023-08-15,aventureiro,0.0
2023-08-17,aventureiro,0.0
2023-08-18,aventureiro,0.0
2023-08-19,aventureiro,0.0
2023-08-20,aventureiro,0.0
2023-08-21,aventureiro,0.0
2023-08-25,aventureiro,0.0
2023-08-26,aventureiro,0.0
2023-08-29,aventureiro,0.0
2023-09-02,aventureiro,0.2
2023-09-04,aventureiro,0.0
2023-09-05,aventureiro,11.96
2023-09-06,aventureiro,0.0
2023-09-07,aventureiro,0.5900000000000001
2023-09-08,aventureiro,0.0
2023-09-09,aventureiro,0.2
2023-09-10,aventureiro,0.0
2023-09-11,aventureiro,0.0
2023-09-12,aventureiro,0.0
2023-09-13,aventureiro,2.36
2023-09-14,aventureiro,0.4
2023-09-15,aventureiro,0.8
2023-09-16,aventureiro,0.0
2023-09-17,aventureiro,0.0
2023-09-18,aventureiro,0.0
2023-09-19,aventureiro,8.07
2023-09-20,aventureiro,9.83
2023-09-21,aventureiro,0.0
2023-09-22,aventureiro,0.39
2023-09-23,aventureiro,0.2
2023-09-24,aventureiro,2.75
2023-09-25,aventureiro,6.11
2023-09-26,aventureiro,6.92
2023-09-27,aventureiro,7.4
2023-09-28,aventureiro,1.0
2023-09-29,aventureiro,0.8
